country_region_code,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
GB,2020-02-27,Thursday,,Parks,-41,4,3,146,10,258
GB,2020-02-27,Thursday,,Transit Stations,-24,0,0,17,4,29
GB,2020-02-27,Thursday,,Workplaces,-16,0,0,6,1,3
GB,2020-02-27,Thursday,,Residential,-1,1,1,3,1,0
GB,2020-02-28,Friday,,Retail and Recreation,-24,-1,0,17,4,20
GB,2020-02-28,Friday,,Grocery and Pharmacy,-18,2,2,23,3,13
GB,2020-02-28,Friday,,Parks,-63,-14,-14,113,10,206
GB,2020-02-28,Friday,,Transit Stations,-27,0,0,20,6,35
GB,2020-02-28,Friday,,Workplaces,-16,-1,-1,4,1,3
GB,2020-02-28,Friday,,Residential,-1,1,1,3,0,0
GB,2020-02-29,Saturday,,Retail and Recreation,-26,2,2,58,4,37
GB,2020-02-29,Saturday,,Grocery and Pharmacy,-17,3,3,26,3,16
GB,2020-02-29,Saturday,,Parks,-55,-16,-17,64,12,178
GB,2020-02-29,Saturday,,Transit Stations,-40,-2,-2,39,7,79
GB,2020-02-29,Saturday,,Workplaces,-8,1,1,9,1,6
GB,2020-02-29,Saturday,,Residential,-1,0,0,2,0,0
GB,2020-03-01,Sunday,,Retail and Recreation,-25,7,6,62,4,42
GB,2020-03-01,Sunday,,Grocery and Pharmacy,-17,3,3,27,3,18
GB,2020-03-01,Sunday,,Parks,-73,10,10,143,16,386
GB,2020-03-01,Sunday,,Transit Stations,-41,5,5,72,9,134
GB,2020-03-01,Sunday,,Workplaces,-7,1,1,10,3,7
GB,2020-03-01,Sunday,,Residential,-2,-1,-1,0,0,0
GB,2020-03-02,Monday,,Retail and Recreation,-19,5,4,27,3,21
GB,2020-03-02,Monday,,Grocery and Pharmacy,-18,5,4,22,3,13
GB,2020-03-02,Monday,,Parks,-38,13,12,167,10,282
GB,2020-03-02,Monday,,Transit Stations,-18,2,2,29,5,34
GB,2020-03-02,Monday,,Workplaces,-3,1,1,6,1,2
GB,2020-03-02,Monday,,Residential,-1,0,0,2,0,0
GB,2020-03-03,Tuesday,,Retail and Recreation,-12,4,4,21,4,21
GB,2020-03-03,Tuesday,,Grocery and Pharmacy,-14,4,4,30,3,11
GB,2020-03-03,Tuesday,,Parks,-41,11,9,138,10,272
GB,2020-03-03,Tuesday,,Transit Stations,-16,0,0,21,4,28
GB,2020-03-03,Tuesday,,Workplaces,-2,1,1,8,1,2
GB,2020-03-03,Tuesday,,Residential,-1,0,0,1,0,0
GB,2020-03-04,Wednesday,,Retail and Recreation,-14,2,2,38,4,27
GB,2020-03-04,Wednesday,,Grocery and Pharmacy,-14,4,4,19,3,12
GB,2020-03-04,Wednesday,,Parks,-45,1,-2,184,13,379
GB,2020-03-04,Wednesday,,Transit Stations,-22,0,-1,20,4,30
GB,2020-03-04,Wednesday,,Workplaces,-3,1,1,5,1,2
GB,2020-03-04,Wednesday,,Residential,-1,1,1,2,1,0
GB,2020-03-05,Thursday,,Retail and Recreation,-16,0,1,36,6,45
GB,2020-03-05,Thursday,,Grocery and Pharmacy,-17,3,4,23,3,22
GB,2020-03-05,Thursday,,Parks,-50,0,-1,173,20,536
GB,2020-03-05,Thursday,,Transit Stations,-21,-1,-1,30,6,37
GB,2020-03-05,Thursday,,Workplaces,-4,0,0,5,1,2
GB,2020-03-05,Thursday,,Residential,-1,1,1,3,1,1
GB,2020-03-06,Friday,,Retail and Recreation,-9,5,4,76,4,34
GB,2020-03-06,Friday,,Grocery and Pharmacy,-14,6,6,26,3,17
GB,2020-03-06,Friday,,Parks,-29,26,23,254,12,477
GB,2020-03-06,Friday,,Transit Stations,-19,4,3,30,6,43
GB,2020-03-06,Friday,,Workplaces,-4,1,1,6,1,2
GB,2020-03-06,Friday,,Residential,-1,0,0,2,0,0
GB,2020-03-07,Saturday,,Retail and Recreation,-18,1,1,87,4,52
GB,2020-03-07,Saturday,,Grocery and Pharmacy,-16,4,3,27,3,19
GB,2020-03-07,Saturday,,Parks,-41,9,7,139,10,312
GB,2020-03-07,Saturday,,Transit Stations,-34,3,3,66,7,75
GB,2020-03-07,Saturday,,Workplaces,-5,2,2,11,1,5
GB,2020-03-07,Saturday,,Residential,-1,0,0,2,0,0
GB,2020-03-08,Sunday,,Retail and Recreation,-12,5,4,40,6,52
GB,2020-03-08,Sunday,,Grocery and Pharmacy,-17,4,3,23,3,20
GB,2020-03-08,Sunday,,Parks,-46,15,13,195,16,536
GB,2020-03-08,Sunday,,Transit Stations,-33,5,4,39,10,117
GB,2020-03-08,Sunday,,Workplaces,-6,1,1,13,3,7
GB,2020-03-08,Sunday,,Residential,-2,-1,-1,1,0,0
GB,2020-03-09,Monday,,Retail and Recreation,-12,0,0,18,4,21
GB,2020-03-09,Monday,,Grocery and Pharmacy,-18,4,4,23,3,17
GB,2020-03-09,Monday,,Parks,-41,5,4,132,12,279
GB,2020-03-09,Monday,,Transit Stations,-21,-1,-2,27,4,36
GB,2020-03-09,Monday,,Workplaces,-6,0,0,6,1,2
GB,2020-03-09,Monday,,Residential,-1,1,1,3,0,0
GB,2020-03-10,Tuesday,,Retail and Recreation,-16,0,0,32,4,24
GB,2020-03-10,Tuesday,,Grocery and Pharmacy,-11,6,6,26,3,14
GB,2020-03-10,Tuesday,,Parks,-41,5,4,142,10,288
GB,2020-03-10,Tuesday,,Transit Stations,-20,-2,-2,59,6,42
GB,2020-03-10,Tuesday,,Workplaces,-5,0,0,7,1,3
GB,2020-03-10,Tuesday,,Residential,0,1,1,4,0,0
GB,2020-03-11,Wednesday,,Retail and Recreation,-17,0,0,24,3,21
GB,2020-03-11,Wednesday,,Grocery and Pharmacy,-10,6,5,27,3,17
GB,2020-03-11,Wednesday,,Parks,-43,10,9,158,10,308
GB,2020-03-11,Wednesday,,Transit Stations,-21,-4,-4,45,5,43
GB,2020-03-11,Wednesday,,Workplaces,-7,0,0,5,1,3
GB,2020-03-11,Wednesday,,Residential,0,1,1,4,0,0
GB,2020-03-12,Thursday,,Retail and Recreation,-22,0,0,29,4,29
GB,2020-03-12,Thursday,,Grocery and Pharmacy,-11,12,12,30,4,28
GB,2020-03-12,Thursday,,Parks,-38,6,5,159,12,312
GB,2020-03-12,Thursday,,Transit Stations,-25,-5,-5,74,6,63
GB,2020-03-12,Thursday,,Workplaces,-15,-1,-1,4,1,6
GB,2020-03-12,Thursday,,Residential,0,2,1,6,0,1
GB,2020-03-13,Friday,,Retail and Recreation,-30,-1,-1,27,6,43
GB,2020-03-13,Friday,,Grocery and Pharmacy,-15,12,12,26,4,26
GB,2020-03-13,Friday,,Parks,-38,17,14,215,13,589
GB,2020-03-13,Friday,,Transit Stations,-33,-4,-5,88,7,102
GB,2020-03-13,Friday,,Workplaces,-23,-4,-3,4,1,11
GB,2020-03-13,Friday,,Residential,0,2,2,9,1,2
GB,2020-03-14,Saturday,,Retail and Recreation,-36,-6,-6,45,7,68
GB,2020-03-14,Saturday,,Grocery and Pharmacy,-15,10,9,32,4,31
GB,2020-03-14,Saturday,,Parks,-43,4,1,144,12,440
GB,2020-03-14,Saturday,,Transit Stations,-34,-10,-10,48,9,107
GB,2020-03-14,Saturday,,Workplaces,-11,-2,-2,15,3,7
GB,2020-03-14,Saturday,,Residential,0,2,2,6,1,1
GB,2020-03-15,Sunday,,Retail and Recreation,-43,-8,-9,40,10,106
GB,2020-03-15,Sunday,,Grocery and Pharmacy,-24,9,9,30,4,38
GB,2020-03-15,Sunday,,Parks,-54,-2,-6,141,21,603
GB,2020-03-15,Sunday,,Transit Stations,-44,-10,-10,39,12,148
GB,2020-03-15,Sunday,,Workplaces,-16,-4,-4,6,3,11
GB,2020-03-15,Sunday,,Residential,0,2,2,6,1,1
GB,2020-03-16,Monday,,Retail and Recreation,-40,-1,0,28,7,69
GB,2020-03-16,Monday,,Grocery and Pharmacy,-20,22,22,46,6,43
GB,2020-03-16,Monday,,Parks,-42,31,26,221,21,791
GB,2020-03-16,Monday,,Transit Stations,-44,-10,-10,44,10,121
GB,2020-03-16,Monday,,Workplaces,-38,-8,-6,0,3,34
GB,2020-03-16,Monday,,Residential,0,3,3,12,1,4
GB,2020-03-17,Tuesday,,Retail and Recreation,-62,-11,-10,20,6,87
GB,2020-03-17,Tuesday,,Grocery and Pharmacy,-40,24,25,45,6,73
GB,2020-03-17,Tuesday,,Parks,-60,9,8,214,14,532
GB,2020-03-17,Tuesday,,Transit Stations,-56,-21,-20,21,12,146
GB,2020-03-17,Tuesday,,Workplaces,-66,-15,-12,-3,6,106
GB,2020-03-17,Tuesday,,Residential,2,7,6,21,1,11
GB,2020-03-18,Wednesday,,Retail and Recreation,-73,-18,-17,5,7,88
GB,2020-03-18,Wednesday,,Grocery and Pharmacy,-46,25,25,60,7,104
GB,2020-03-18,Wednesday,,Parks,-65,-3,-4,127,22,498
GB,2020-03-18,Wednesday,,Transit Stations,-66,-28,-28,15,12,132
GB,2020-03-18,Wednesday,,Workplaces,-62,-21,-19,-7,6,69
GB,2020-03-18,Wednesday,,Residential,4,10,9,24,3,10
GB,2020-03-19,Thursday,,Retail and Recreation,-78,-18,-17,8,9,115
GB,2020-03-19,Thursday,,Grocery and Pharmacy,-47,27,27,62,9,114
GB,2020-03-19,Thursday,,Parks,-74,4,0,206,22,723
GB,2020-03-19,Thursday,,Transit Stations,-70,-29,-29,11,15,184
GB,2020-03-19,Thursday,,Workplaces,-63,-25,-23,-9,6,76
GB,2020-03-19,Thursday,,Residential,4,11,10,25,3,13
GB,2020-03-20,Friday,,Retail and Recreation,-82,-25,-24,3,9,115
GB,2020-03-20,Friday,,Grocery and Pharmacy,-54,12,12,43,6,67
GB,2020-03-20,Friday,,Parks,-77,12,11,266,18,691
GB,2020-03-20,Friday,,Transit Stations,-73,-31,-31,15,15,186
GB,2020-03-20,Friday,,Workplaces,-64,-27,-25,-12,6,75
GB,2020-03-20,Friday,,Residential,6,12,11,28,3,14
GB,2020-03-21,Saturday,,Retail and Recreation,-90,-46,-45,-16,9,99
GB,2020-03-21,Saturday,,Grocery and Pharmacy,-53,6,6,41,7,95
GB,2020-03-21,Saturday,,Parks,-86,11,12,209,21,719
GB,2020-03-21,Saturday,,Transit Stations,-79,-36,-36,21,15,236
GB,2020-03-21,Saturday,,Workplaces,-48,-24,-23,-9,4,30
GB,2020-03-21,Saturday,,Residential,7,10,10,18,1,4
GB,2020-03-22,Sunday,,Retail and Recreation,-89,-54,-53,-23,7,78
GB,2020-03-22,Sunday,,Grocery and Pharmacy,-67,-12,-12,26,6,66
GB,2020-03-22,Sunday,,Parks,-86,24,22,277,24,1010
GB,2020-03-22,Sunday,,Transit Stations,-82,-32,-32,48,21,417
GB,2020-03-22,Sunday,,Workplaces,-52,-29,-28,-14,6,39
GB,2020-03-22,Sunday,,Residential,5,8,8,16,1,5
GB,2020-03-23,Monday,,Retail and Recreation,-87,-42,-41,-20,7,82
GB,2020-03-23,Monday,,Grocery and Pharmacy,-70,-7,-6,24,5,55
GB,2020-03-23,Monday,,Parks,-82,7,7,193,18,597
GB,2020-03-23,Monday,,Transit Stations,-79,-44,-44,-3,13,172
GB,2020-03-23,Monday,,Workplaces,-76,-44,-42,-25,7,80
GB,2020-03-23,Monday,,Residential,9,17,16,32,3,15
GB,2020-03-24,Tuesday,,Retail and Recreation,-94,-70,-69,-50,6,32
GB,2020-03-24,Tuesday,,Grocery and Pharmacy,-79,-23,-23,-4,4,40
GB,2020-03-24,Tuesday,,Parks,-88,-10,-11,152,18,478
GB,2020-03-24,Tuesday,,Transit Stations,-87,-58,-58,-13,10,122
