sub_region_1,phase,event,ff_type,start_date,end_date,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,Phase three,First three tier system,Residential,2020-10-14,2020-11-04,2,9,9,19,3,11
East Midlands,Phase four,Second National Lockdown. Meet one person outside,Retail and Recreation,2020-11-05,2020-12-01,-77,-50,-49,-26,9,80
East Midlands,Phase four,Second National Lockdown. Meet one person outside,Grocery and Pharmacy,2020-11-05,2020-12-01,-33,-9,-9,13,7,42
East Midlands,Phase four,Second National Lockdown. Meet one person outside,Parks,2020-11-05,2020-12-01,-75,10,8,224,23,1410
East Midlands,Phase four,Second National Lockdown. Meet one person outside,Transit Stations,2020-11-05,2020-12-01,-74,-40,-40,-5,12,140
East Midlands,Phase four,Second National Lockdown. Meet one person outside,Workplaces,2020-11-05,2020-12-01,-46,-31,-32,0,7,50
East Midlands,Phase four,Second National Lockdown. Meet one person outside,Residential,2020-11-05,2020-12-01,7,14,14,20,3,7
East Midlands,Phase five,Tier system was reintroduced,Retail and Recreation,2020-12-02,2020-12-18,-72,-32,-32,0,10,119
East Midlands,Phase five,Tier system was reintroduced,Grocery and Pharmacy,2020-12-02,2020-12-18,-21,0,-1,34,7,71
East Midlands,Phase five,Tier system was reintroduced,Parks,2020-12-02,2020-12-18,-79,3,-1,202,25,1317
East Midlands,Phase five,Tier system was reintroduced,Transit Stations,2020-12-02,2020-12-18,-62,-33,-34,14,10,152
East Midlands,Phase five,Tier system was reintroduced,Workplaces,2020-12-02,2020-12-18,-46,-25,-27,8,9,82
East Midlands,Phase five,Tier system was reintroduced,Residential,2020-12-02,2020-12-18,4,11,11,18,3,7
East Midlands,Phase five,Tier 4 introduced,Retail and Recreation,2020-12-19,2021-01-05,-96,-48,-48,12,25,545
East Midlands,Phase five,Tier 4 introduced,Grocery and Pharmacy,2020-12-19,2021-01-05,-94,-11,-8,75,25,1159
East Midlands,Phase five,Tier 4 introduced,Parks,2020-12-19,2021-01-05,-70,8,3,287,30,1673
East Midlands,Phase five,Tier 4 introduced,Transit Stations,2020-12-19,2021-01-05,-90,-51,-52,15,16,295
East Midlands,Phase five,Tier 4 introduced,Workplaces,2020-12-19,2021-01-05,-90,-50,-49,9,25,512
East Midlands,Phase five,Tier 4 introduced,Residential,2020-12-19,2021-01-05,3,18,17,36,7,49
East Midlands,Phase six,Third National Lockdown,Retail and Recreation,2021-01-06,2021-03-07,-84,-57,-56,-28,9,80
East Midlands,Phase six,Third National Lockdown,Grocery and Pharmacy,2021-01-06,2021-03-07,-38,-15,-15,12,9,77
East Midlands,Phase six,Third National Lockdown,Parks,2021-01-06,2021-03-07,-86,5,1,242,28,1638
East Midlands,Phase six,Third National Lockdown,Transit Stations,2021-01-06,2021-03-07,-77,-50,-50,6,10,108
East Midlands,Phase six,Third National Lockdown,Workplaces,2021-01-06,2021-03-07,-63,-39,-41,-5,10,106
East Midlands,Phase six,Third National Lockdown,Residential,2021-01-06,2021-03-07,5,16,17,25,3,14
East Midlands,Phase six,Schools and care homes reopen,Retail and Recreation,2021-03-08,2021-03-13,-74,-48,-47,-27,7,76
East Midlands,Phase six,Schools and care homes reopen,Grocery and Pharmacy,2021-03-08,2021-03-13,-20,0,-1,33,8,69
East Midlands,Phase six,Schools and care homes reopen,Parks,2021-03-08,2021-03-13,-79,4,2,157,28,1369
East Midlands,Phase six,Schools and care homes reopen,Transit Stations,2021-03-08,2021-03-13,-68,-42,-42,-13,12,114
East Midlands,Phase six,Schools and care homes reopen,Workplaces,2021-03-08,2021-03-13,-48,-33,-35,1,7,74
East Midlands,Phase six,Schools and care homes reopen,Residential,2021-03-08,2021-03-13,7,14,14,22,3,6
