sub_region_1,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,2020-04-10,Friday,Good Friday,Retail and Recreation,-87,-77,-77,-67,4,21
East Midlands,2020-04-10,Friday,Good Friday,Grocery and Pharmacy,-39,-31,-32,-18,4,24
East Midlands,2020-04-10,Friday,Good Friday,Parks,-76,-11,-13,84,20,801
East Midlands,2020-04-10,Friday,Good Friday,Transit Stations,-81,-61,-62,-23,12,163
East Midlands,2020-04-10,Friday,Good Friday,Workplaces,-85,-79,-80,-61,3,21
East Midlands,2020-04-10,Friday,Good Friday,Residential,23,30,30,33,1,6
East Midlands,2020-04-11,Saturday,,Retail and Recreation,-90,-81,-81,-72,4,20
East Midlands,2020-04-11,Saturday,,Grocery and Pharmacy,-43,-31,-32,-12,6,46
East Midlands,2020-04-11,Saturday,,Parks,-84,-32,-29,-2,20,403
East Midlands,2020-04-11,Saturday,,Transit Stations,-78,-56,-56,-16,15,211
East Midlands,2020-04-11,Saturday,,Workplaces,-63,-55,-56,-41,4,19
East Midlands,2020-04-11,Saturday,,Residential,15,17,18,19,1,1
East Midlands,2020-04-12,Sunday,,Retail and Recreation,-96,-90,-91,-84,3,7
East Midlands,2020-04-12,Sunday,,Grocery and Pharmacy,-76,-66,-67,-50,7,37
East Midlands,2020-04-12,Sunday,,Parks,-85,-34,-30,3,21,372
East Midlands,2020-04-12,Sunday,,Transit Stations,-82,-57,-56,-25,24,281
East Midlands,2020-04-12,Sunday,,Workplaces,-64,-56,-57,-42,3,21
East Midlands,2020-04-12,Sunday,,Residential,15,15,15,16,0,0
East Midlands,2020-04-13,Monday,Easter Monday,Retail and Recreation,-89,-80,-80,-72,4,17
East Midlands,2020-04-13,Monday,Easter Monday,Grocery and Pharmacy,-51,-42,-42,-34,3,12
East Midlands,2020-04-13,Monday,Easter Monday,Parks,-75,-24,-26,69,19,695
East Midlands,2020-04-13,Monday,Easter Monday,Transit Stations,-84,-69,-69,-43,7,79
East Midlands,2020-04-13,Monday,Easter Monday,Workplaces,-88,-82,-84,-65,4,24
East Midlands,2020-04-13,Monday,Easter Monday,Residential,24,30,30,33,1,6
East Midlands,2020-04-14,Tuesday,,Retail and Recreation,-81,-69,-69,-60,4,29
East Midlands,2020-04-14,Tuesday,,Grocery and Pharmacy,-31,-22,-22,-9,4,29
East Midlands,2020-04-14,Tuesday,,Parks,-62,2,-6,131,17,1190
East Midlands,2020-04-14,Tuesday,,Transit Stations,-76,-53,-52,-21,9,134
East Midlands,2020-04-14,Tuesday,,Workplaces,-77,-66,-67,-48,4,29
East Midlands,2020-04-14,Tuesday,,Residential,17,25,25,29,3,8
East Midlands,2020-04-15,Wednesday,,Retail and Recreation,-82,-71,-70,-59,4,28
East Midlands,2020-04-15,Wednesday,,Grocery and Pharmacy,-34,-25,-25,-14,3,19
East Midlands,2020-04-15,Wednesday,,Parks,-71,1,1,109,21,923
East Midlands,2020-04-15,Wednesday,,Transit Stations,-77,-52,-54,-22,10,151
East Midlands,2020-04-15,Wednesday,,Workplaces,-75,-65,-66,-47,4,26
East Midlands,2020-04-15,Wednesday,,Residential,18,26,26,30,3,7
East Midlands,2020-04-16,Thursday,,Retail and Recreation,-83,-71,-70,-62,4,27
East Midlands,2020-04-16,Thursday,,Grocery and Pharmacy,-32,-24,-25,-11,4,26
East Midlands,2020-04-16,Thursday,,Parks,-61,4,2,108,25,974
East Midlands,2020-04-16,Thursday,,Transit Stations,-76,-51,-52,-14,13,199
East Midlands,2020-04-16,Thursday,,Workplaces,-76,-65,-66,-47,4,27
East Midlands,2020-04-16,Thursday,,Residential,17,26,26,30,3,8
East Midlands,2020-04-17,Friday,,Retail and Recreation,-85,-74,-74,-66,4,24
East Midlands,2020-04-17,Friday,,Grocery and Pharmacy,-35,-27,-28,-14,6,25
East Midlands,2020-04-17,Friday,,Parks,-74,-13,-19,101,16,837
East Midlands,2020-04-17,Friday,,Transit Stations,-77,-55,-56,-22,13,169
East Midlands,2020-04-17,Friday,,Workplaces,-74,-64,-65,-49,4,21
East Midlands,2020-04-17,Friday,,Residential,19,26,27,31,1,6
East Midlands,2020-04-18,Saturday,,Retail and Recreation,-92,-82,-82,-73,4,19
East Midlands,2020-04-18,Saturday,,Grocery and Pharmacy,-46,-36,-37,-20,6,36
East Midlands,2020-04-18,Saturday,,Parks,-88,-48,-46,-27,13,178
East Midlands,2020-04-18,Saturday,,Transit Stations,-81,-62,-61,-28,13,156
East Midlands,2020-04-18,Saturday,,Workplaces,-57,-52,-53,-34,4,24
East Midlands,2020-04-18,Saturday,,Residential,15,18,18,19,1,2
East Midlands,2020-04-19,Sunday,,Retail and Recreation,-92,-81,-80,-72,4,22
East Midlands,2020-04-19,Sunday,,Grocery and Pharmacy,-47,-38,-39,-25,6,31
East Midlands,2020-04-19,Sunday,,Parks,-76,-9,-7,42,22,593
East Midlands,2020-04-19,Sunday,,Transit Stations,-78,-49,-49,-4,22,364
East Midlands,2020-04-19,Sunday,,Workplaces,-55,-46,-46,-34,3,17
East Midlands,2020-04-19,Sunday,,Residential,12,13,14,14,1,1
East Midlands,2020-04-20,Monday,,Retail and Recreation,-80,-69,-69,-57,4,33
East Midlands,2020-04-20,Monday,,Grocery and Pharmacy,-36,-27,-27,-17,6,22
East Midlands,2020-04-20,Monday,,Parks,-68,1,0,104,21,936
East Midlands,2020-04-20,Monday,,Transit Stations,-75,-52,-52,-14,12,169
East Midlands,2020-04-20,Monday,,Workplaces,-73,-62,-63,-45,4,28
East Midlands,2020-04-20,Monday,,Residential,17,24,24,28,1,5
East Midlands,2020-04-21,Tuesday,,Retail and Recreation,-81,-69,-68,-60,4,32
East Midlands,2020-04-21,Tuesday,,Grocery and Pharmacy,-35,-24,-24,-13,4,24
East Midlands,2020-04-21,Tuesday,,Parks,-61,7,4,164,24,1565
East Midlands,2020-04-21,Tuesday,,Transit Stations,-75,-49,-49,-18,15,181
East Midlands,2020-04-21,Tuesday,,Workplaces,-73,-62,-63,-44,4,29
East Midlands,2020-04-21,Tuesday,,Residential,17,24,25,29,3,7
East Midlands,2020-04-22,Wednesday,,Retail and Recreation,-82,-70,-70,-60,4,33
East Midlands,2020-04-22,Wednesday,,Grocery and Pharmacy,-35,-25,-26,-15,4,22
East Midlands,2020-04-22,Wednesday,,Parks,-66,7,4,142,21,1175
East Midlands,2020-04-22,Wednesday,,Transit Stations,-75,-49,-49,-17,12,195
East Midlands,2020-04-22,Wednesday,,Workplaces,-73,-62,-62,-47,4,23
East Midlands,2020-04-22,Wednesday,,Residential,17,25,25,30,3,8
East Midlands,2020-04-23,Thursday,,Retail and Recreation,-81,-69,-69,-60,6,28
East Midlands,2020-04-23,Thursday,,Grocery and Pharmacy,-32,-24,-24,-13,4,21
East Midlands,2020-04-23,Thursday,,Parks,-61,13,14,140,25,1220
East Midlands,2020-04-23,Thursday,,Transit Stations,-75,-49,-51,-15,15,217
East Midlands,2020-04-23,Thursday,,Workplaces,-72,-62,-64,-46,4,26
East Midlands,2020-04-23,Thursday,,Residential,17,25,25,29,3,8
East Midlands,2020-04-24,Friday,,Retail and Recreation,-82,-70,-71,-61,4,29
East Midlands,2020-04-24,Friday,,Grocery and Pharmacy,-32,-23,-23,-12,6,25
East Midlands,2020-04-24,Friday,,Parks,-69,11,11,161,24,1545
East Midlands,2020-04-24,Friday,,Transit Stations,-76,-48,-47,-14,15,241
East Midlands,2020-04-24,Friday,,Workplaces,-70,-61,-62,-47,4,20
East Midlands,2020-04-24,Friday,,Residential,18,25,25,29,3,6
East Midlands,2020-04-25,Saturday,,Retail and Recreation,-88,-77,-77,-69,4,26
East Midlands,2020-04-25,Saturday,,Grocery and Pharmacy,-40,-29,-29,-9,6,42
East Midlands,2020-04-25,Saturday,,Parks,-78,-12,-11,45,27,803
East Midlands,2020-04-25,Saturday,,Transit Stations,-76,-49,-47,-7,16,300
East Midlands,2020-04-25,Saturday,,Workplaces,-55,-48,-48,-38,4,16
East Midlands,2020-04-25,Saturday,,Residential,14,16,16,18,1,1
East Midlands,2020-04-26,Sunday,,Retail and Recreation,-92,-79,-78,-69,4,28
East Midlands,2020-04-26,Sunday,,Grocery and Pharmacy,-46,-35,-37,-17,7,42
East Midlands,2020-04-26,Sunday,,Parks,-80,-12,-8,28,27,593
East Midlands,2020-04-26,Sunday,,Transit Stations,-78,-48,-44,-13,20,355
East Midlands,2020-04-26,Sunday,,Workplaces,-52,-45,-45,-32,4,20
East Midlands,2020-04-26,Sunday,,Residential,12,13,12,14,1,1
East Midlands,2020-04-27,Monday,,Retail and Recreation,-80,-67,-67,-55,6,37
East Midlands,2020-04-27,Monday,,Grocery and Pharmacy,-35,-26,-27,-16,4,22
East Midlands,2020-04-27,Monday,,Parks,-67,1,-3,124,16,1049
East Midlands,2020-04-27,Monday,,Transit Stations,-73,-49,-48,-16,15,173
East Midlands,2020-04-27,Monday,,Workplaces,-71,-61,-61,-45,4,28
East Midlands,2020-04-27,Monday,,Residential,16,23,23,27,3,6
East Midlands,2020-04-28,Tuesday,,Retail and Recreation,-84,-72,-72,-61,6,31
East Midlands,2020-04-28,Tuesday,,Grocery and Pharmacy,-39,-29,-30,-17,4,26
East Midlands,2020-04-28,Tuesday,,Parks,-74,-37,-40,76,13,617
East Midlands,2020-04-28,Tuesday,,Transit Stations,-77,-58,-59,-26,9,121
East Midlands,2020-04-28,Tuesday,,Workplaces,-73,-62,-63,-44,4,30
East Midlands,2020-04-28,Tuesday,,Residential,17,25,26,31,3,10
East Midlands,2020-04-29,Wednesday,,Retail and Recreation,-82,-71,-71,-60,6,32
East Midlands,2020-04-29,Wednesday,,Grocery and Pharmacy,-36,-25,-25,-16,4,20
East Midlands,2020-04-29,Wednesday,,Parks,-77,-25,-28,74,10,522
East Midlands,2020-04-29,Wednesday,,Transit Stations,-77,-54,-55,-28,12,143
East Midlands,2020-04-29,Wednesday,,Workplaces,-72,-61,-62,-45,4,25
East Midlands,2020-04-29,Wednesday,,Residential,17,25,25,29,3,7
East Midlands,2020-04-30,Thursday,,Retail and Recreation,-84,-72,-72,-62,6,31
East Midlands,2020-04-30,Thursday,,Grocery and Pharmacy,-33,-23,-23,-12,4,24
East Midlands,2020-04-30,Thursday,,Parks,-70,-20,-25,77,13,580
East Midlands,2020-04-30,Thursday,,Transit Stations,-77,-54,-52,-25,9,129
East Midlands,2020-04-30,Thursday,,Workplaces,-72,-61,-62,-45,4,26
East Midlands,2020-04-30,Thursday,,Residential,17,25,25,30,3,8
East Midlands,2020-05-01,Friday,,Retail and Recreation,-86,-72,-72,-63,6,33
East Midlands,2020-05-01,Friday,,Grocery and Pharmacy,-32,-24,-24,-14,6,23
East Midlands,2020-05-01,Friday,,Parks,-73,-7,-11,92,17,851
East Midlands,2020-05-01,Friday,,Transit Stations,-75,-50,-51,-21,16,193
East Midlands,2020-05-01,Friday,,Workplaces,-69,-60,-61,-46,4,21
East Midlands,2020-05-01,Friday,,Residential,18,25,25,30,3,6
East Midlands,2020-05-02,Saturday,,Retail and Recreation,-89,-77,-76,-66,4,32
East Midlands,2020-05-02,Saturday,,Grocery and Pharmacy,-39,-27,-28,-10,6,37
East Midlands,2020-05-02,Saturday,,Parks,-76,-6,-6,42,28,772
East Midlands,2020-05-02,Saturday,,Transit Stations,-75,-47,-44,-4,15,304
East Midlands,2020-05-02,Saturday,,Workplaces,-52,-45,-46,-33,4,20
East Midlands,2020-05-02,Saturday,,Residential,13,16,16,17,1,1
East Midlands,2020-05-03,Sunday,,Retail and Recreation,-93,-79,-78,-70,6,34
East Midlands,2020-05-03,Sunday,,Grocery and Pharmacy,-43,-34,-35,-17,6,37
East Midlands,2020-05-03,Sunday,,Parks,-77,-13,-12,43,21,601
East Midlands,2020-05-03,Sunday,,Transit Stations,-76,-45,-41,14,13,401
East Midlands,2020-05-03,Sunday,,Workplaces,-50,-43,-44,-31,4,18
East Midlands,2020-05-03,Sunday,,Residential,11,12,13,14,1,1
East Midlands,2020-05-04,Monday,May Day (Early May Bank Holiday),Retail and Recreation,-81,-66,-66,-52,7,46
East Midlands,2020-05-04,Monday,May Day (Early May Bank Holiday),Grocery and Pharmacy,-34,-23,-24,-14,4,23
East Midlands,2020-05-04,Monday,May Day (Early May Bank Holiday),Parks,-63,10,8,139,16,1317
East Midlands,2020-05-04,Monday,May Day (Early May Bank Holiday),Transit Stations,-72,-47,-47,-7,15,212
East Midlands,2020-05-04,Monday,May Day (Early May Bank Holiday),Workplaces,-69,-59,-60,-43,4,28
East Midlands,2020-05-04,Monday,May Day (Early May Bank Holiday),Residential,15,23,23,27,1,6
East Midlands,2020-05-05,Tuesday,,Retail and Recreation,-81,-67,-66,-57,6,38
East Midlands,2020-05-05,Tuesday,,Grocery and Pharmacy,-33,-20,-21,-9,4,29
East Midlands,2020-05-05,Tuesday,,Parks,-55,16,10,178,24,1635
East Midlands,2020-05-05,Tuesday,,Transit Stations,-74,-45,-46,-7,15,228
East Midlands,2020-05-05,Tuesday,,Workplaces,-71,-59,-60,-44,4,27
East Midlands,2020-05-05,Tuesday,,Residential,15,23,23,28,3,7
East Midlands,2020-05-06,Wednesday,,Retail and Recreation,-82,-66,-66,-56,6,43
East Midlands,2020-05-06,Wednesday,,Grocery and Pharmacy,-30,-17,-18,-5,6,29
East Midlands,2020-05-06,Wednesday,,Parks,-58,25,23,207,29,2088
East Midlands,2020-05-06,Wednesday,,Transit Stations,-72,-43,-42,-6,16,245
East Midlands,2020-05-06,Wednesday,,Workplaces,-70,-58,-59,-43,4,28
East Midlands,2020-05-06,Wednesday,,Residential,16,23,23,28,3,7
East Midlands,2020-05-07,Thursday,,Retail and Recreation,-80,-64,-63,-53,6,47
East Midlands,2020-05-07,Thursday,,Grocery and Pharmacy,-22,-7,-8,7,6,44
East Midlands,2020-05-07,Thursday,,Parks,-52,28,18,172,24,1661
East Midlands,2020-05-07,Thursday,,Transit Stations,-71,-42,-42,-12,16,224
East Midlands,2020-05-07,Thursday,,Workplaces,-69,-59,-60,-44,4,24
East Midlands,2020-05-07,Thursday,,Residential,15,22,23,27,3,7
East Midlands,2020-05-08,Friday,,Retail and Recreation,-88,-75,-74,-66,4,28
East Midlands,2020-05-08,Friday,,Grocery and Pharmacy,-34,-27,-28,-15,4,24
East Midlands,2020-05-08,Friday,,Parks,-62,22,18,195,18,1884
East Midlands,2020-05-08,Friday,,Transit Stations,-78,-54,-52,-19,13,179
East Midlands,2020-05-08,Friday,,Workplaces,-83,-76,-78,-60,4,21
East Midlands,2020-05-08,Friday,,Residential,21,28,28,31,3,6
East Midlands,2020-05-09,Saturday,,Retail and Recreation,-90,-77,-76,-68,4,27
East Midlands,2020-05-09,Saturday,,Grocery and Pharmacy,-38,-26,-27,-8,6,41
East Midlands,2020-05-09,Saturday,,Parks,-73,2,8,67,30,843
East Midlands,2020-05-09,Saturday,,Transit Stations,-74,-46,-44,2,16,303
East Midlands,2020-05-09,Saturday,,Workplaces,-52,-46,-47,-35,3,20
East Midlands,2020-05-09,Saturday,,Residential,13,15,16,17,1,2
East Midlands,2020-05-10,Sunday,,Retail and Recreation,-92,-82,-81,-72,4,26
East Midlands,2020-05-10,Sunday,,Grocery and Pharmacy,-47,-36,-36,-19,6,35
East Midlands,2020-05-10,Sunday,,Parks,-84,-47,-46,-10,16,241
East Midlands,2020-05-10,Sunday,,Transit Stations,-79,-56,-57,-25,16,198
East Midlands,2020-05-10,Sunday,,Workplaces,-51,-44,-44,-31,4,21
East Midlands,2020-05-10,Sunday,,Residential,12,13,13,14,1,1
East Midlands,2020-05-11,Monday,,Retail and Recreation,-81,-66,-66,-53,6,40
East Midlands,2020-05-11,Monday,,Grocery and Pharmacy,-34,-21,-22,-14,4,21
East Midlands,2020-05-11,Monday,,Parks,-64,-2,-4,116,19,939
East Midlands,2020-05-11,Monday,,Transit Stations,-74,-47,-49,-10,16,200
East Midlands,2020-05-11,Monday,,Workplaces,-69,-57,-58,-42,4,29
East Midlands,2020-05-11,Monday,,Residential,15,22,23,27,1,6
East Midlands,2020-05-12,Tuesday,,Retail and Recreation,-81,-66,-65,-57,7,39
East Midlands,2020-05-12,Tuesday,,Grocery and Pharmacy,-31,-19,-19,-8,6,26
East Midlands,2020-05-12,Tuesday,,Parks,-56,11,6,142,21,1226
East Midlands,2020-05-12,Tuesday,,Transit Stations,-72,-45,-45,-14,13,185
East Midlands,2020-05-12,Tuesday,,Workplaces,-69,-57,-58,-40,4,31
East Midlands,2020-05-12,Tuesday,,Residential,15,22,23,28,1,7
East Midlands,2020-05-13,Wednesday,,Retail and Recreation,-80,-66,-65,-57,4,34
East Midlands,2020-05-13,Wednesday,,Grocery and Pharmacy,-31,-19,-19,-7,6,24
East Midlands,2020-05-13,Wednesday,,Parks,-50,22,17,233,24,2250
East Midlands,2020-05-13,Wednesday,,Transit Stations,-71,-42,-41,-11,16,251
East Midlands,2020-05-13,Wednesday,,Workplaces,-67,-56,-57,-41,4,27
East Midlands,2020-05-13,Wednesday,,Residential,15,23,23,28,1,7
East Midlands,2020-05-14,Thursday,,Retail and Recreation,-78,-64,-63,-56,4,33
East Midlands,2020-05-14,Thursday,,Grocery and Pharmacy,-27,-15,-16,-3,4,30
East Midlands,2020-05-14,Thursday,,Parks,-20,56,44,288,33,3466
East Midlands,2020-05-14,Thursday,,Transit Stations,-71,-37,-36,-2,16,314
East Midlands,2020-05-14,Thursday,,Workplaces,-66,-56,-57,-40,4,26
East Midlands,2020-05-14,Thursday,,Residential,14,22,22,27,3,7
East Midlands,2020-05-15,Friday,,Retail and Recreation,-81,-66,-65,-57,4,35
East Midlands,2020-05-15,Friday,,Grocery and Pharmacy,-25,-17,-18,-4,4,29
East Midlands,2020-05-15,Friday,,Parks,-36,44,32,264,31,2921
East Midlands,2020-05-15,Friday,,Transit Stations,-69,-38,-40,-1,19,341
East Midlands,2020-05-15,Friday,,Workplaces,-65,-55,-56,-43,3,20
East Midlands,2020-05-15,Friday,,Residential,16,22,22,27,3,5
East Midlands,2020-05-16,Saturday,,Retail and Recreation,-86,-72,-72,-62,6,36
East Midlands,2020-05-16,Saturday,,Grocery and Pharmacy,-33,-20,-21,-2,7,48
East Midlands,2020-05-16,Saturday,,Parks,-44,24,18,171,37,1529
East Midlands,2020-05-16,Saturday,,Transit Stations,-70,-35,-34,7,22,480
East Midlands,2020-05-16,Saturday,,Workplaces,-45,-39,-39,-31,4,13
East Midlands,2020-05-16,Saturday,,Residential,11,14,14,15,1,1
East Midlands,2020-05-17,Sunday,,Retail and Recreation,-89,-72,-70,-60,6,44
East Midlands,2020-05-17,Sunday,,Grocery and Pharmacy,-36,-22,-23,0,7,67
East Midlands,2020-05-17,Sunday,,Parks,-27,48,45,220,37,2077
East Midlands,2020-05-17,Sunday,,Transit Stations,-68,-25,-18,39,32,827
East Midlands,2020-05-17,Sunday,,Workplaces,-42,-34,-34,-25,4,17
East Midlands,2020-05-17,Sunday,,Residential,8,10,10,12,1,1
East Midlands,2020-05-18,Monday,,Retail and Recreation,-75,-59,-58,-45,6,49
East Midlands,2020-05-18,Monday,,Grocery and Pharmacy,-28,-15,-15,-4,4,24
East Midlands,2020-05-18,Monday,,Parks,-28,47,41,247,30,3008
East Midlands,2020-05-18,Monday,,Transit Stations,-68,-36,-36,4,16,306
East Midlands,2020-05-18,Monday,,Workplaces,-64,-54,-55,-39,4,28
East Midlands,2020-05-18,Monday,,Residential,13,20,20,24,3,5
East Midlands,2020-05-19,Tuesday,,Retail and Recreation,-75,-60,-58,-49,6,45
East Midlands,2020-05-19,Tuesday,,Grocery and Pharmacy,-24,-12,-12,0,6,30
East Midlands,2020-05-19,Tuesday,,Parks,-5,53,52,103,21,750
East Midlands,2020-05-19,Tuesday,,Transit Stations,-67,-33,-33,9,16,355
East Midlands,2020-05-19,Tuesday,,Workplaces,-66,-54,-55,-38,4,29
East Midlands,2020-05-19,Tuesday,,Residential,12,20,21,25,1,7
East Midlands,2020-05-20,Wednesday,,Retail and Recreation,-78,-61,-60,-49,4,50
East Midlands,2020-05-20,Wednesday,,Grocery and Pharmacy,-22,-9,-11,3,6,34
East Midlands,2020-05-20,Wednesday,,Parks,0,53,54,115,30,890
East Midlands,2020-05-20,Wednesday,,Transit Stations,-69,-34,-31,4,18,323
East Midlands,2020-05-20,Wednesday,,Workplaces,-65,-54,-55,-40,4,27
East Midlands,2020-05-20,Wednesday,,Residential,13,20,21,25,3,7
East Midlands,2020-05-21,Thursday,,Retail and Recreation,-78,-61,-60,-51,6,46
East Midlands,2020-05-21,Thursday,,Grocery and Pharmacy,-21,-9,-9,2,7,32
East Midlands,2020-05-21,Thursday,,Parks,-6,50,48,99,25,884
East Midlands,2020-05-21,Thursday,,Transit Stations,-69,-35,-34,-2,18,313
East Midlands,2020-05-21,Thursday,,Workplaces,-64,-54,-55,-38,4,27
East Midlands,2020-05-21,Thursday,,Residential,12,21,21,25,1,7
East Midlands,2020-05-22,Friday,,Retail and Recreation,-81,-64,-62,-54,6,49
East Midlands,2020-05-22,Friday,,Grocery and Pharmacy,-22,-13,-12,-3,6,28
East Midlands,2020-05-22,Friday,,Parks,-40,32,28,275,30,2894
East Midlands,2020-05-22,Friday,,Transit Stations,-70,-37,-36,-4,18,296
East Midlands,2020-05-22,Friday,,Workplaces,-64,-54,-54,-38,4,25
East Midlands,2020-05-22,Friday,,Residential,15,22,22,26,1,6
East Midlands,2020-05-23,Saturday,,Retail and Recreation,-85,-71,-70,-60,7,45
East Midlands,2020-05-23,Saturday,,Grocery and Pharmacy,-30,-18,-18,0,4,38
East Midlands,2020-05-23,Saturday,,Parks,-52,7,4,114,25,865
East Midlands,2020-05-23,Saturday,,Transit Stations,-70,-38,-38,3,16,288
East Midlands,2020-05-23,Saturday,,Workplaces,-45,-37,-38,-27,4,18
East Midlands,2020-05-23,Saturday,,Residential,11,14,14,15,1,1
East Midlands,2020-05-24,Sunday,,Retail and Recreation,-89,-70,-68,-59,6,51
East Midlands,2020-05-24,Sunday,,Grocery and Pharmacy,-33,-21,-21,-3,7,56
East Midlands,2020-05-24,Sunday,,Parks,-29,40,41,186,37,1563
East Midlands,2020-05-24,Sunday,,Transit Stations,-68,-28,-26,21,25,582
East Midlands,2020-05-24,Sunday,,Workplaces,-41,-33,-34,-23,4,16
East Midlands,2020-05-24,Sunday,,Residential,8,10,9,11,1,1
East Midlands,2020-05-25,Monday,Spring Bank Holiday,Retail and Recreation,-81,-63,-62,-46,6,65
East Midlands,2020-05-25,Monday,Spring Bank Holiday,Grocery and Pharmacy,-31,-19,-18,1,6,48
East Midlands,2020-05-25,Monday,Spring Bank Holiday,Parks,37,113,119,179,44,2057
East Midlands,2020-05-25,Monday,Spring Bank Holiday,Transit Stations,-73,-35,-38,70,22,704
East Midlands,2020-05-25,Monday,Spring Bank Holiday,Workplaces,-83,-77,-78,-60,4,26
East Midlands,2020-05-25,Monday,Spring Bank Holiday,Residential,17,24,24,27,3,6
East Midlands,2020-05-26,Tuesday,,Retail and Recreation,-75,-56,-54,-44,6,59
East Midlands,2020-05-26,Tuesday,,Grocery and Pharmacy,-20,-5,-5,6,7,39
East Midlands,2020-05-26,Tuesday,,Parks,25,65,63,100,31,654
East Midlands,2020-05-26,Tuesday,,Transit Stations,-68,-32,-31,18,18,330
East Midlands,2020-05-26,Tuesday,,Workplaces,-66,-54,-55,-38,4,32
East Midlands,2020-05-26,Tuesday,,Residential,12,19,19,24,3,7
East Midlands,2020-05-27,Wednesday,,Retail and Recreation,-75,-57,-56,-44,4,55
East Midlands,2020-05-27,Wednesday,,Grocery and Pharmacy,-21,-8,-7,4,7,33
East Midlands,2020-05-27,Wednesday,,Parks,11,65,62,125,36,978
East Midlands,2020-05-27,Wednesday,,Transit Stations,-67,-30,-27,13,19,351
East Midlands,2020-05-27,Wednesday,,Workplaces,-64,-53,-54,-38,4,29
East Midlands,2020-05-27,Wednesday,,Residential,12,20,20,25,3,7
East Midlands,2020-05-28,Thursday,,Retail and Recreation,-74,-57,-56,-45,6,51
East Midlands,2020-05-28,Thursday,,Grocery and Pharmacy,-19,-6,-6,4,7,32
East Midlands,2020-05-28,Thursday,,Parks,23,69,69,107,49,860
East Midlands,2020-05-28,Thursday,,Transit Stations,-67,-29,-27,18,19,398
East Midlands,2020-05-28,Thursday,,Workplaces,-65,-53,-54,-36,4,31
East Midlands,2020-05-28,Thursday,,Residential,12,19,20,24,3,7
East Midlands,2020-05-29,Friday,,Retail and Recreation,-78,-60,-59,-49,4,52
East Midlands,2020-05-29,Friday,,Grocery and Pharmacy,-17,-7,-6,5,7,38
East Midlands,2020-05-29,Friday,,Parks,12,64,68,130,32,966
East Midlands,2020-05-29,Friday,,Transit Stations,-66,-29,-28,31,16,437
East Midlands,2020-05-29,Friday,,Workplaces,-62,-52,-54,-37,4,25
East Midlands,2020-05-29,Friday,,Residential,13,20,20,23,1,5
East Midlands,2020-05-30,Saturday,,Retail and Recreation,-83,-67,-66,-55,6,49
East Midlands,2020-05-30,Saturday,,Grocery and Pharmacy,-27,-10,-11,7,9,63
East Midlands,2020-05-30,Saturday,,Parks,-18,58,56,351,33,3825
East Midlands,2020-05-30,Saturday,,Transit Stations,-65,-23,-21,48,22,572
East Midlands,2020-05-30,Saturday,,Workplaces,-37,-27,-27,-20,3,15
East Midlands,2020-05-30,Saturday,,Residential,8,11,11,13,1,2
East Midlands,2020-05-31,Sunday,,Retail and Recreation,-86,-66,-65,-47,6,67
East Midlands,2020-05-31,Sunday,,Grocery and Pharmacy,-31,-13,-14,7,7,88
East Midlands,2020-05-31,Sunday,,Parks,-10,70,62,387,27,4483
East Midlands,2020-05-31,Sunday,,Transit Stations,-63,-17,-12,39,37,834
East Midlands,2020-05-31,Sunday,,Workplaces,-30,-22,-22,-15,3,13
East Midlands,2020-05-31,Sunday,,Residential,5,8,8,9,1,1
East Midlands,2020-06-01,Monday,,Retail and Recreation,-73,-53,-52,-39,6,62
East Midlands,2020-06-01,Monday,,Grocery and Pharmacy,-21,-8,-7,4,7,34
East Midlands,2020-06-01,Monday,,Parks,11,56,55,96,24,592
East Midlands,2020-06-01,Monday,,Transit Stations,-63,-26,-24,26,16,384
East Midlands,2020-06-01,Monday,,Workplaces,-59,-47,-48,-31,4,32
East Midlands,2020-06-01,Monday,,Residential,10,17,17,21,1,5
East Midlands,2020-06-02,Tuesday,,Retail and Recreation,-76,-55,-54,-41,6,60
East Midlands,2020-06-02,Tuesday,,Grocery and Pharmacy,-20,-7,-8,8,7,45
East Midlands,2020-06-02,Tuesday,,Parks,31,71,74,111,21,529
East Midlands,2020-06-02,Tuesday,,Transit Stations,-65,-24,-27,40,19,462
East Midlands,2020-06-02,Tuesday,,Workplaces,-60,-48,-48,-32,4,30
East Midlands,2020-06-02,Tuesday,,Residential,10,17,18,22,1,6
East Midlands,2020-06-03,Wednesday,,Retail and Recreation,-79,-61,-60,-44,4,50
East Midlands,2020-06-03,Wednesday,,Grocery and Pharmacy,-27,-16,-16,-5,6,24
East Midlands,2020-06-03,Wednesday,,Parks,-57,-8,-12,136,13,1036
East Midlands,2020-06-03,Wednesday,,Transit Stations,-71,-39,-39,-12,13,213
East Midlands,2020-06-03,Wednesday,,Workplaces,-62,-49,-50,-34,4,30
East Midlands,2020-06-03,Wednesday,,Residential,13,20,20,26,3,7
East Midlands,2020-06-04,Thursday,,Retail and Recreation,-76,-58,-58,-43,4,47
East Midlands,2020-06-04,Thursday,,Grocery and Pharmacy,-22,-11,-11,-1,4,25
East Midlands,2020-06-04,Thursday,,Parks,-26,31,24,218,19,1959
East Midlands,2020-06-04,Thursday,,Transit Stations,-68,-31,-31,3,16,312
East Midlands,2020-06-04,Thursday,,Workplaces,-61,-48,-49,-32,4,29
