sub_region_1,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,2020-02-26,Wednesday,,Parks,-47,3,0,132,8,744
East Midlands,2020-02-26,Wednesday,,Transit Stations,-10,0,0,14,4,24
East Midlands,2020-02-26,Wednesday,,Workplaces,-7,0,0,4,1,3
East Midlands,2020-02-26,Wednesday,,Residential,0,1,1,2,0,0
East Midlands,2020-02-27,Thursday,,Retail and Recreation,-11,2,3,11,3,19
East Midlands,2020-02-27,Thursday,,Grocery and Pharmacy,-3,2,3,8,1,5
East Midlands,2020-02-27,Thursday,,Parks,-41,8,3,146,7,840
East Midlands,2020-02-27,Thursday,,Transit Stations,-24,2,1,14,6,50
East Midlands,2020-02-27,Thursday,,Workplaces,-5,0,0,2,1,2
East Midlands,2020-02-27,Thursday,,Residential,0,1,1,2,0,0
East Midlands,2020-02-28,Friday,,Retail and Recreation,-14,-2,-1,4,4,22
East Midlands,2020-02-28,Friday,,Grocery and Pharmacy,-7,1,1,9,1,9
East Midlands,2020-02-28,Friday,,Parks,-63,-16,-20,113,13,705
East Midlands,2020-02-28,Friday,,Transit Stations,-27,1,2,11,4,42
East Midlands,2020-02-28,Friday,,Workplaces,-7,-1,-1,3,1,3
East Midlands,2020-02-28,Friday,,Residential,0,1,1,3,0,0
East Midlands,2020-02-29,Saturday,,Retail and Recreation,-20,3,2,33,3,61
East Midlands,2020-02-29,Saturday,,Grocery and Pharmacy,-4,4,4,8,2,5
East Midlands,2020-02-29,Saturday,,Parks,-53,-14,-19,64,10,319
East Midlands,2020-02-29,Saturday,,Transit Stations,-35,-2,-2,23,7,78
East Midlands,2020-02-29,Saturday,,Workplaces,-4,1,0,6,2,6
East Midlands,2020-02-29,Saturday,,Residential,-1,0,0,1,0,0
East Midlands,2020-03-01,Sunday,,Retail and Recreation,-16,8,8,20,6,42
East Midlands,2020-03-01,Sunday,,Grocery and Pharmacy,-3,4,3,12,3,12
East Midlands,2020-03-01,Sunday,,Parks,-18,11,8,143,13,739
East Midlands,2020-03-01,Sunday,,Transit Stations,-29,7,6,72,11,263
East Midlands,2020-03-01,Sunday,,Workplaces,-4,1,2,8,3,7
East Midlands,2020-03-01,Sunday,,Residential,-1,-1,-1,0,0,0
East Midlands,2020-03-02,Monday,,Retail and Recreation,-7,5,4,15,4,18
East Midlands,2020-03-02,Monday,,Grocery and Pharmacy,-2,4,4,14,1,7
East Midlands,2020-03-02,Monday,,Parks,-26,15,10,167,7,1005
East Midlands,2020-03-02,Monday,,Transit Stations,-7,4,3,14,4,29
East Midlands,2020-03-02,Monday,,Workplaces,-2,1,1,5,1,2
East Midlands,2020-03-02,Monday,,Residential,-1,0,0,1,0,0
East Midlands,2020-03-03,Tuesday,,Retail and Recreation,-5,3,2,16,4,16
East Midlands,2020-03-03,Tuesday,,Grocery and Pharmacy,-1,4,4,9,2,5
East Midlands,2020-03-03,Tuesday,,Parks,-41,8,3,133,10,863
East Midlands,2020-03-03,Tuesday,,Transit Stations,-10,0,-1,12,4,28
East Midlands,2020-03-03,Tuesday,,Workplaces,-2,1,1,4,1,1
East Midlands,2020-03-03,Tuesday,,Residential,0,0,0,1,0,0
East Midlands,2020-03-04,Wednesday,,Retail and Recreation,-9,4,4,15,3,22
East Midlands,2020-03-04,Wednesday,,Grocery and Pharmacy,-1,5,5,12,1,6
East Midlands,2020-03-04,Wednesday,,Parks,-45,9,4,184,12,1342
East Midlands,2020-03-04,Wednesday,,Transit Stations,-7,2,2,17,4,29
East Midlands,2020-03-04,Wednesday,,Workplaces,-2,1,1,5,1,2
East Midlands,2020-03-04,Wednesday,,Residential,0,0,0,1,0,0
East Midlands,2020-03-05,Thursday,,Retail and Recreation,-11,2,2,36,4,45
East Midlands,2020-03-05,Thursday,,Grocery and Pharmacy,1,5,5,11,1,6
East Midlands,2020-03-05,Thursday,,Parks,-39,4,-1,173,7,1221
East Midlands,2020-03-05,Thursday,,Transit Stations,-16,0,0,13,4,27
East Midlands,2020-03-05,Thursday,,Workplaces,-1,1,0,2,1,1
East Midlands,2020-03-05,Thursday,,Residential,-1,0,0,2,0,0
East Midlands,2020-03-06,Friday,,Retail and Recreation,-6,8,7,76,4,146
East Midlands,2020-03-06,Friday,,Grocery and Pharmacy,0,6,6,16,2,8
East Midlands,2020-03-06,Friday,,Parks,-29,28,19,254,10,2319
East Midlands,2020-03-06,Friday,,Transit Stations,-19,7,6,30,6,73
East Midlands,2020-03-06,Friday,,Workplaces,-2,1,1,4,1,2
East Midlands,2020-03-06,Friday,,Residential,-1,0,0,1,0,0
East Midlands,2020-03-07,Saturday,,Retail and Recreation,-8,2,2,31,4,41
East Midlands,2020-03-07,Saturday,,Grocery and Pharmacy,-4,4,4,20,2,17
East Midlands,2020-03-07,Saturday,,Parks,-27,16,11,139,13,897
East Midlands,2020-03-07,Saturday,,Transit Stations,-21,6,4,29,8,99
East Midlands,2020-03-07,Saturday,,Workplaces,-2,3,2,11,3,6
East Midlands,2020-03-07,Saturday,,Residential,-1,0,0,0,0,0
East Midlands,2020-03-08,Sunday,,Retail and Recreation,-8,8,8,40,7,77
East Midlands,2020-03-08,Sunday,,Grocery and Pharmacy,0,6,6,17,3,15
East Midlands,2020-03-08,Sunday,,Parks,-18,23,17,135,13,746
East Midlands,2020-03-08,Sunday,,Transit Stations,-24,8,8,28,13,154
East Midlands,2020-03-08,Sunday,,Workplaces,-5,1,1,7,3,7
East Midlands,2020-03-08,Sunday,,Residential,-1,-1,-1,0,0,0
East Midlands,2020-03-09,Monday,,Retail and Recreation,-12,1,0,16,2,27
East Midlands,2020-03-09,Monday,,Grocery and Pharmacy,0,4,4,13,3,8
East Midlands,2020-03-09,Monday,,Parks,-41,8,4,132,7,802
East Midlands,2020-03-09,Monday,,Transit Stations,-14,-1,-1,15,4,28
East Midlands,2020-03-09,Monday,,Workplaces,-2,1,1,5,1,2
East Midlands,2020-03-09,Monday,,Residential,-1,1,1,1,0,0
East Midlands,2020-03-10,Tuesday,,Retail and Recreation,-9,2,2,21,4,27
East Midlands,2020-03-10,Tuesday,,Grocery and Pharmacy,0,7,7,15,3,9
East Midlands,2020-03-10,Tuesday,,Parks,-41,9,4,142,7,987
East Midlands,2020-03-10,Tuesday,,Transit Stations,-12,0,-1,20,4,31
East Midlands,2020-03-10,Tuesday,,Workplaces,-2,1,1,4,1,2
East Midlands,2020-03-10,Tuesday,,Residential,0,1,1,2,0,0
East Midlands,2020-03-11,Wednesday,,Retail and Recreation,-10,1,1,13,4,25
East Midlands,2020-03-11,Wednesday,,Grocery and Pharmacy,1,5,5,10,1,4
East Midlands,2020-03-11,Wednesday,,Parks,-38,12,6,158,9,1059
East Midlands,2020-03-11,Wednesday,,Transit Stations,-15,-1,-1,17,4,34
East Midlands,2020-03-11,Wednesday,,Workplaces,-1,1,1,2,1,1
East Midlands,2020-03-11,Wednesday,,Residential,0,1,1,2,0,0
East Midlands,2020-03-12,Thursday,,Retail and Recreation,-11,1,1,20,3,28
East Midlands,2020-03-12,Thursday,,Grocery and Pharmacy,4,12,13,18,3,8
East Midlands,2020-03-12,Thursday,,Parks,-38,8,0,159,10,1176
East Midlands,2020-03-12,Thursday,,Transit Stations,-16,-3,-4,17,4,35
East Midlands,2020-03-12,Thursday,,Workplaces,-3,0,0,2,1,2
East Midlands,2020-03-12,Thursday,,Residential,0,1,1,2,0,0
East Midlands,2020-03-13,Friday,,Retail and Recreation,-13,1,2,27,4,47
East Midlands,2020-03-13,Friday,,Grocery and Pharmacy,8,13,12,26,4,13
East Midlands,2020-03-13,Friday,,Parks,-38,20,10,215,10,2211
East Midlands,2020-03-13,Friday,,Transit Stations,-13,-1,-2,20,6,58
East Midlands,2020-03-13,Friday,,Workplaces,-5,-2,-2,2,1,2
East Midlands,2020-03-13,Friday,,Residential,0,1,1,3,1,1
East Midlands,2020-03-14,Saturday,,Retail and Recreation,-17,-3,-5,45,7,104
East Midlands,2020-03-14,Saturday,,Grocery and Pharmacy,3,11,10,32,4,23
East Midlands,2020-03-14,Saturday,,Parks,-28,10,3,144,13,1142
East Midlands,2020-03-14,Saturday,,Transit Stations,-29,-6,-7,18,6,98
East Midlands,2020-03-14,Saturday,,Workplaces,-6,0,0,15,3,14
East Midlands,2020-03-14,Saturday,,Residential,0,1,1,2,0,0
East Midlands,2020-03-15,Sunday,,Retail and Recreation,-23,-8,-8,40,8,111
East Midlands,2020-03-15,Sunday,,Grocery and Pharmacy,-1,11,10,30,4,32
East Midlands,2020-03-15,Sunday,,Parks,-42,-12,-18,106,10,959
East Midlands,2020-03-15,Sunday,,Transit Stations,-32,-9,-10,13,9,135
East Midlands,2020-03-15,Sunday,,Workplaces,-10,-3,-4,6,3,11
East Midlands,2020-03-15,Sunday,,Residential,0,1,1,3,1,1
East Midlands,2020-03-16,Monday,,Retail and Recreation,-13,1,1,28,7,64
East Midlands,2020-03-16,Monday,,Grocery and Pharmacy,16,24,24,38,5,30
East Midlands,2020-03-16,Monday,,Parks,-13,27,18,221,12,1844
East Midlands,2020-03-16,Monday,,Transit Stations,-17,-6,-6,22,6,64
East Midlands,2020-03-16,Monday,,Workplaces,-7,-4,-4,0,2,4
East Midlands,2020-03-16,Monday,,Residential,0,2,2,4,1,1
East Midlands,2020-03-17,Tuesday,,Retail and Recreation,-24,-9,-8,20,7,64
East Midlands,2020-03-17,Tuesday,,Grocery and Pharmacy,18,28,28,42,4,29
East Midlands,2020-03-17,Tuesday,,Parks,-24,11,0,214,10,2119
East Midlands,2020-03-17,Tuesday,,Transit Stations,-30,-14,-15,14,7,80
East Midlands,2020-03-17,Tuesday,,Workplaces,-16,-9,-9,-3,3,8
East Midlands,2020-03-17,Tuesday,,Residential,2,5,5,8,1,2
East Midlands,2020-03-18,Wednesday,,Retail and Recreation,-36,-19,-19,1,6,57
East Midlands,2020-03-18,Wednesday,,Grocery and Pharmacy,17,27,27,36,6,28
East Midlands,2020-03-18,Wednesday,,Parks,-54,-15,-23,127,7,1011
East Midlands,2020-03-18,Wednesday,,Transit Stations,-41,-24,-24,6,9,89
East Midlands,2020-03-18,Wednesday,,Workplaces,-28,-17,-17,-8,3,14
East Midlands,2020-03-18,Wednesday,,Residential,4,9,9,13,1,3
East Midlands,2020-03-19,Thursday,,Retail and Recreation,-34,-16,-16,8,8,70
East Midlands,2020-03-19,Thursday,,Grocery and Pharmacy,20,31,32,42,5,25
East Midlands,2020-03-19,Thursday,,Parks,-30,10,0,206,7,1778
East Midlands,2020-03-19,Thursday,,Transit Stations,-42,-22,-23,1,10,92
East Midlands,2020-03-19,Thursday,,Workplaces,-32,-21,-21,-9,3,18
East Midlands,2020-03-19,Thursday,,Residential,4,9,10,13,1,4
East Midlands,2020-03-20,Friday,,Retail and Recreation,-46,-22,-22,3,8,72
