LocationName,Date,SiteName,LocationGroup,WeekDay,BRCYear,BRCQuarter,BRCMonth,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount,X,Y,OBJECTID
Church Street,29/04/2014,York,,Tuesday,2014,,April,18,1721,1945,3666,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,30/04/2014,York,,Wednesday,2014,,April,18,1698,1986,3684,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,05/05/2014,York,,Monday,2014,,May,19,1552,1690,3242,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,06/05/2014,York,,Tuesday,2014,,May,19,1522,1834,3356,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,07/05/2014,York,,Wednesday,2014,,May,19,1727,2031,3758,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,08/05/2014,York,,Thursday,2014,,May,19,1727,2084,3811,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,09/05/2014,York,,Friday,2014,,May,19,2248,2630,4878,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,10/05/2014,York,,Saturday,2014,,May,19,2590,2911,5501,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,11/05/2014,York,,Sunday,2014,,May,19,1473,1758,3231,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,12/05/2014,York,,Monday,2014,,May,20,1949,2137,4086,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,13/05/2014,York,,Tuesday,2014,,May,20,1936,2124,4060,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,14/05/2014,York,,Wednesday,2014,,May,20,1999,2338,4337,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,15/05/2014,York,,Thursday,2014,,May,20,1981,2359,4340,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,16/05/2014,York,,Friday,2014,,May,20,2500,2816,5316,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,17/05/2014,York,,Saturday,2014,,May,20,2717,3085,5802,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,18/05/2014,York,,Sunday,2014,,May,20,1691,2136,3827,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,19/05/2014,York,,Monday,2014,,May,21,2020,2307,4327,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,20/05/2014,York,,Tuesday,2014,,May,21,1853,2268,4121,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,21/05/2014,York,,Wednesday,2014,,May,21,1985,2359,4344,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,22/05/2014,York,,Thursday,2014,,May,21,1604,2041,3645,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,23/05/2014,York,,Friday,2014,,May,21,1976,2498,4474,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,24/05/2014,York,,Saturday,2014,,May,21,2190,3020,5210,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,25/05/2014,York,,Sunday,2014,,May,21,1751,2227,3978,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,01/06/2014,York,,Sunday,2014,,May,22,1562,2218,3780,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,26/05/2014,York,,Monday,2014,,May,22,1736,2420,4156,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,27/05/2014,York,,Tuesday,2014,,May,22,1810,2772,4582,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,28/05/2014,York,,Wednesday,2014,,May,22,1650,2742,4392,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,29/05/2014,York,,Thursday,2014,,May,22,2047,2819,4866,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,30/05/2014,York,,Friday,2014,,May,22,2436,3037,5473,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,31/05/2014,York,,Saturday,2014,,May,22,2375,3151,5526,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,02/06/2014,York,,Monday,2014,,June,23,1651,2107,3758,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,03/06/2014,York,,Tuesday,2014,,June,23,1584,2083,3667,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,04/06/2014,York,,Wednesday,2014,,June,23,1562,2069,3631,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,05/06/2014,York,,Thursday,2014,,June,23,1921,2444,4365,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,06/06/2014,York,,Friday,2014,,June,23,2482,3171,5653,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,07/06/2014,York,,Saturday,2014,,June,23,2169,2900,5069,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,08/06/2014,York,,Sunday,2014,,June,23,1701,2185,3886,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,09/06/2014,York,,Monday,2014,,June,24,1567,2243,3810,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,10/06/2014,York,,Tuesday,2014,,June,24,2229,2623,4852,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,11/06/2014,York,,Wednesday,2014,,June,24,1694,2573,4267,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,12/06/2014,York,,Thursday,2014,,June,24,2261,2813,5074,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,13/06/2014,York,,Friday,2014,,June,24,1996,2505,4501,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,14/06/2014,York,,Saturday,2014,,June,24,2414,3137,5551,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,15/06/2014,York,,Sunday,2014,,June,24,1326,2041,3367,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,16/06/2014,York,,Monday,2014,,June,25,1676,2194,3870,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,17/06/2014,York,,Tuesday,2014,,June,25,1750,2133,3883,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,18/06/2014,York,,Wednesday,2014,,June,25,2012,2472,4484,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,19/06/2014,York,,Thursday,2014,,June,25,1862,2444,4306,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,20/06/2014,York,,Friday,2014,,June,25,2353,2894,5247,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,21/06/2014,York,,Saturday,2014,,June,25,2490,3180,5670,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,22/06/2014,York,,Sunday,2014,,June,25,1652,2183,3835,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,23/06/2014,York,,Monday,2014,,June,26,1907,2580,4487,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,24/06/2014,York,,Tuesday,2014,,June,26,1743,2254,3997,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,25/06/2014,York,,Wednesday,2014,,June,26,2036,2704,4740,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,26/06/2014,York,,Thursday,2014,,June,26,1895,2706,4601,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,27/06/2014,York,,Friday,2014,,June,26,2048,2813,4861,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,28/06/2014,York,,Saturday,2014,,June,26,2317,3256,5573,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,29/06/2014,York,,Sunday,2014,,June,26,1712,2242,3954,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,01/07/2014,York,,Tuesday,2014,,June,27,1899,2749,4648,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,02/07/2014,York,,Wednesday,2014,,June,27,2190,2661,4851,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,03/07/2014,York,,Thursday,2014,,June,27,1972,2458,4430,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,04/07/2014,York,,Friday,2014,,June,27,2298,2829,5127,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,05/07/2014,York,,Saturday,2014,,June,27,2316,2835,5151,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,06/07/2014,York,,Sunday,2014,,June,27,1950,2416,4366,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,30/06/2014,York,,Monday,2014,,June,27,1869,2391,4260,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,07/07/2014,York,,Monday,2014,,July,28,1972,2476,4448,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,08/07/2014,York,,Tuesday,2014,,July,28,1734,2427,4161,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,09/07/2014,York,,Wednesday,2014,,July,28,2252,2681,4933,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,10/07/2014,York,,Thursday,2014,,July,28,2137,2819,4956,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,11/07/2014,York,,Friday,2014,,July,28,2364,2945,5309,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,12/07/2014,York,,Saturday,2014,,July,28,2822,3320,6142,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,13/07/2014,York,,Sunday,2014,,July,28,1381,2262,3643,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,14/07/2014,York,,Monday,2014,,July,29,2837,3293,6130,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,15/07/2014,York,,Tuesday,2014,,July,29,2455,2887,5342,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,16/07/2014,York,,Wednesday,2014,,July,29,3279,3312,6591,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,17/07/2014,York,,Thursday,2014,,July,29,2963,3373,6336,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,18/07/2014,York,,Friday,2014,,July,29,2197,2694,4891,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,19/07/2014,York,,Saturday,2014,,July,29,2315,2979,5294,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,20/07/2014,York,,Sunday,2014,,July,29,1612,2502,4114,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,21/07/2014,York,,Monday,2014,,July,30,2123,3002,5125,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,22/07/2014,York,,Tuesday,2014,,July,30,2124,2817,4941,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,23/07/2014,York,,Wednesday,2014,,July,30,2075,2669,4744,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,24/07/2014,York,,Thursday,2014,,July,30,3147,3838,6985,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,25/07/2014,York,,Friday,2014,,July,30,2787,3485,6272,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,26/07/2014,York,,Saturday,2014,,July,30,2679,3121,5800,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,27/07/2014,York,,Sunday,2014,,July,30,1625,2533,4158,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,01/08/2014,York,,Friday,2014,,July,31,2376,2826,5202,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,02/08/2014,York,,Saturday,2014,,July,31,2322,2942,5264,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,03/08/2014,York,,Sunday,2014,,July,31,1709,2364,4073,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,28/07/2014,York,,Monday,2014,,July,31,2030,2864,4894,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,29/07/2014,York,,Tuesday,2014,,July,31,1925,2644,4569,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,30/07/2014,York,,Wednesday,2014,,July,31,2037,2782,4819,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,31/07/2014,York,,Thursday,2014,,July,31,2050,2753,4803,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,04/08/2014,York,,Monday,2014,,August,32,2007,2739,4746,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,05/08/2014,York,,Tuesday,2014,,August,32,2046,2808,4854,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,06/08/2014,York,,Wednesday,2014,,August,32,1688,2428,4116,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,07/08/2014,York,,Thursday,2014,,August,32,2201,3029,5230,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,08/08/2014,York,,Friday,2014,,August,32,2001,2817,4818,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,09/08/2014,York,,Saturday,2014,,August,32,2830,3733,6563,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,10/08/2014,York,,Sunday,2014,,August,32,1297,2133,3430,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,11/08/2014,York,,Monday,2014,,August,33,2069,2860,4929,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,12/08/2014,York,,Tuesday,2014,,August,33,2039,2817,4856,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,13/08/2014,York,,Wednesday,2014,,August,33,1802,2430,4232,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,14/08/2014,York,,Thursday,2014,,August,33,1889,2618,4507,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,15/08/2014,York,,Friday,2014,,August,33,2156,2824,4980,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,16/08/2014,York,,Saturday,2014,,August,33,2219,2898,5117,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,17/08/2014,York,,Sunday,2014,,August,33,1469,2274,3743,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,18/08/2014,York,,Monday,2014,,August,34,1795,2764,4559,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,19/08/2014,York,,Tuesday,2014,,August,34,2044,3047,5091,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,20/08/2014,York,,Wednesday,2014,,August,34,2146,2748,4894,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,21/08/2014,York,,Thursday,2014,,August,34,1814,2616,4430,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,22/08/2014,York,,Friday,2014,,August,34,2177,2877,5054,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,23/08/2014,York,,Saturday,2014,,August,34,2599,3252,5851,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,24/08/2014,York,,Sunday,2014,,August,34,1822,2564,4386,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,25/08/2014,York,,Monday,2014,,August,35,1538,2630,4168,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,26/08/2014,York,,Tuesday,2014,,August,35,2062,2810,4872,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,27/08/2014,York,,Wednesday,2014,,August,35,2043,2845,4888,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,28/08/2014,York,,Thursday,2014,,August,35,1863,2577,4440,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,29/08/2014,York,,Friday,2014,,August,35,2255,2908,5163,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,30/08/2014,York,,Saturday,2014,,August,35,2426,2900,5326,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,31/08/2014,York,,Sunday,2014,,August,35,1347,1900,3247,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,01/09/2014,York,,Monday,2014,,September,36,1655,2170,3825,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,02/09/2014,York,,Tuesday,2014,,September,36,1698,2324,4022,,,,,,,-1.08046297592486,53.9604292999891,3
